venue_name,Source URL,Business Type,Incentive Category,Incentive Teaser,Full Incentive Description
NOVA Kitchen & Bar,https://www.novaoc.com/,Restaurant,Happy Hour,Roll a 7 â€“ Entire Check FREE,"Sushi, bites, and cocktails from Bar Menu. Roll a 7 on the dice and your entire check is free"
Puesto,https://www.eatpuesto.com/,Mexican Restaurant,Taco Tuesday / Happy Hour,Half-Priced Tacos on Tuesdays,"All tacos half price on Taco Tuesday (including signature filet mignon, lobster, and short rib options) plus discounted margaritas"
Bowlero Orange County,https://www.bowlero.com/location/bowlero-orange-county/specials,Entertainment (Bowling),Group Rate / Night Strike,Unlimited Bowling Special,Unlimited bowling + shoe rental for $24.99 during Night Strike (perfect for groups)
Regal Edwards (multiple OC locations),https://www.regmovies.com/groups-and-events/group-sales,Entertainment,Group Rate,Group Movie Ticket Discount (21+),"Discounted tickets for groups of 21 or more: $0.50 off child matinee, $1 off adult evening"
Citrus City Grille,https://citruscitygrille.com/,Restaurant,Happy Hour,$10 Menu â€“ All Items,"Artisan-crafted cocktails, premium wines, local beers, and incredible small bites â€” everything $10 and under"
Lazy Dog Restaurant & Bar,https://lazydogrestaurants.com/pages/orange-ca,American Restaurant,Happy Hour,Happy Hour Bites & Drinks,"Discounted appetizers, burgers, and drinks during happy hour (select items $6â€“$12)"
The Lab Anti-Mall,https://www.thelab.com/,Entertainment / Dining Complex,Happy Hour,Multiple Venue Happy Hour Deals,Participating spots (including Ruin Bar and others) offer discounted drinks and bites during evening hours
Rancho Capistrano Winery,https://www.ranchocapwinery.com/,Winery / Restaurant,Happy Hour,Wine Happy Hour Flights & Menu,Discounted wine flights and happy-hour menu items (select wines $11/glass and paired bites)
Yard House,https://www.yardhouse.com/locations,Restaurant / Bar,Happy Hour,Half-Price Appetizers & Drinks,Select appetizers and drinks at half price during happy hour
Seasons 52,https://www.seasons52.com/locations/ca/costa-mesa,Restaurant,Happy Hour,Bar Menu Specials,Discounted wines by the glass and small plates during happy hour
Aveo Table & Bar,https://www.ritzcarlton.com/en/hotels/snarz-the-ritz-carlton-laguna-niguel/dining/aveo-table-bar,Restaurant,Happy Hour,Coastal Bites & Cocktails,Select small plates and cocktails at reduced pricing
Lucky Strike Orange,https://www.luckystrikeent.com/locations,Entertainment (Bowling),Group Rate,Group Bowling Package,Discounted lane rental and game packages for groups of 8+
Salt Creek Grille,https://www.saltcreekgrilleoc.com/,Restaurant,Happy Hour,Appetizer & Drink Special,Select appetizers and drinks discounted
Roman Cucina,http://romancucinafullerton.com/,Italian Restaurant,Happy Hour,Pasta & Wine Special,Select pasta dishes and wine at discounted rate
Riptide Rockin' Sushi & Teppan Grills,http://riptidesushi.com/,Japanese Restaurant,Happy Hour,Sushi & Drink Special,Select sushi rolls and drinks discounted
Romeo Cucina,https://romeocucina.com/,Italian Restaurant,Early Bird,Early Dinner Special,Select entrees at reduced early seating rate
